outcome,sex,cgn,pc2_group,n,outcome_mean,mean_pc1,mean_pc2,prop_pc2_high,prop_pc2_low
engineering_job_y11,male,CGN,high_PC2_technical_physical,1156,0.023356401384083045,0.1836503581296679,1.3612831152241225,1.0,0.0
earnings_o221_among_earners,female,non_CGN,middle_PC2,6409,7073.556873147137,-1.5391624736863667,0.0555074762160938,0.0,0.0
earnings_o221_among_earners,male,non_CGN,high_PC2_technical_physical,6099,12701.60354156419,1.5824562810436957,1.3173722731276016,1.0,0.0
earnings_o221_among_earners,male,non_CGN,middle_PC2,12801,12428.493555191,1.5164428294216572,0.060588778096039825,0.0,0.0
earnings_o221_among_earners,male,non_CGN,low_PC2_social_domestic,4894,12022.463015937883,1.3148281754721804,-1.3952509365566972,0.0,1.0
earnings_o221_among_earners,female,CGN,high_PC2_technical_physical,927,7218.038834951456,-0.0851984600802975,1.441740072229016,1.0,0.0
earnings_o221_among_earners,male,CGN,middle_PC2,2505,12503.927744510978,0.1640839282342382,-0.010380783100594036,0.0,0.0
earnings_o221_among_earners,male,CGN,low_PC2_social_domestic,2091,11587.59349593496,0.1650810950132375,-1.6781820423883258,0.0,1.0
earnings_o221_among_earners,female,non_CGN,high_PC2_technical_physical,3284,7073.2484774665045,-1.4902733950442448,1.3560380856860073,1.0,0.0
earnings_o221_among_earners,female,CGN,middle_PC2,1451,7589.768435561681,-0.09317204043879204,0.07697646243002253,0.0,0.0
earnings_o221_among_earners,male,CGN,high_PC2_technical_physical,989,12555.939332659253,0.2027507232138229,1.366068492861448,1.0,0.0
earnings_o221_among_earners,female,CGN,low_PC2_social_domestic,922,7226.203904555315,-0.12916534516261163,-1.5765174995467546,0.0,1.0
earnings_o221_among_earners,female,non_CGN,low_PC2_social_domestic,2531,7012.516791781904,-1.2874504609585844,-1.1978436676499953,0.0,1.0
log_earnings_o222_among_earners,female,non_CGN,middle_PC2,9627,28.38973719746546,-1.5591856233279116,0.061047730689095366,0.0,0.0
log_earnings_o222_among_earners,male,non_CGN,high_PC2_technical_physical,6286,50.50047725103404,1.5828720504520404,1.315629249678836,1.0,0.0
log_earnings_o222_among_earners,male,non_CGN,middle_PC2,13246,50.121697116110525,1.5156087503798614,0.06040356857061974,0.0,0.0
