outcome,sex,model,estimator,term,n_used,coef,p_value,note
engineering_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,33931,-0.0046683522236702175,0.08081007466143053,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,33931,-0.003208946158384256,0.5859456072581654,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,15524,302.5354903004348,0.0009198061885677035,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,15524,49.0385879126442,0.2637471828584742,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,15524,-5.968420826080983,0.9388943235709855,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,15524,370.43136877063057,0.00043701617461882686,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,15524,18.87739920247843,0.8250340215388693,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,15524,-266.95803280356256,0.1927108158873576,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,29379,-285.56034166465014,0.006072688090518619,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,29379,335.1335489971988,2.0221220891960462e-14,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,29379,61.777563252949854,0.5022106226543607,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,29379,-405.3042342816277,0.0002762014407487263,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,29379,499.67785551100854,4.163184013526346e-08,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,29379,-0.21137475286322127,0.9993054778327066,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,22863,2.3014755097233985,1.535487941563324e-10,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,22863,-0.1350931630801301,0.47073726675702676,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,22863,-0.39242834999229076,0.20062814602945167,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,22863,2.78355077193064,1.0962657762500529e-11,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,22863,-0.10255192571365918,0.7747172628762322,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,22863,-1.6478712071441943,0.022344478561801658,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,30482,-1.1334202010381784,1.0503368355994096e-09,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,30482,0.5069972544514963,1.0945831006593565e-09,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,30482,-0.04171738528189159,0.7923776163068362,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,30482,-1.3744365910231886,4.634637631197646e-11,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,30482,0.6729956849711533,3.9517073881028534e-05,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,30482,0.5922510642701909,0.19066851704115162,"For binary outcomes, coefficient is percentage-point change in an LPM."
ever_married,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,34034,-0.06033855436829277,7.045403447394298e-34,"For binary outcomes, coefficient is percentage-point change in an LPM."
